country,designation,points,price,province,variety,winery
France,Le Pav茅,90,,Loire Valley,Sauvignon Blanc,Domaine Vacheron
US,Reserve,90,25,New York,Riesling,Dr. Konstantin Frank
US,Final Final,90,30,Washington,Cabernet Sauvignon-Syrah,Efeste
Italy,Poggio Bestiale,90,60,Tuscany,Red Blend,Fattoria di Magliano
Argentina,The Apple Doesn't Fall Far From The Tree,91,30,Mendoza Province,Malbec,Matias Riccitelli
Australia,,91,36,Victoria,Pinot Noir,Moorooduc
Argentina,Alegor铆a Gran Reserva,91,25,Mendoza Province,Malbec,Navarro Correas
France,L'Homme Mort Premier Cru,91,45,Burgundy,Chardonnay,Domaine Chenevi猫res
Portugal,,91,23,Alentejano,Portuguese Red,Herdade do Rocim
US,Estate Select,91,36,California,Syrah,Jason-Stephens
France,Fourchaume Premier Cru,91,38,Burgundy,Chardonnay,Louis Max
US,Animo,91,85,California,Cabernet Sauvignon,Michael Mondavi Family Estate
US,Schindler Vineyard,91,50,Oregon,Pinot Noir,Panther Creek
US,Barrel Select,91,60,California,Cabernet Sauvignon,Provenance Vineyards
US,District Collection,91,85,California,Cabernet Sauvignon,Raymond
US,,91,45,California,Pinot Noir,Red Car
Italy,Bussia Riserva,91,,Piedmont,Nebbiolo,Silvano Bolmida
US,,91,19,Oregon,Pinot Gris,Trinity Vineyards
Portugal,Premium,91,15,Alentejo,Portuguese Red,Adega Cooperativa de Borba
US,Premier Cuv茅e,91,54,Oregon,Pinot Noir,Archery Summit
France,Le Nombre d'Or Brut Nature,91,85,Champagne,Chardonnay,Aubry
US,Juliana Vineyard,91,38,California,Sauvignon Blanc,B Cellars
US,,91,28,California,Cabernet Sauvignon,B Side
Italy,Boscato,91,75,Piedmont,Nebbiolo,Bel Colle
US,Aeolian,91,42,Oregon,Pinot Noir,Bethel Heights
Israel,Reserve,91,25,Upper Galilee,Cabernet Sauvignon,Binyamina
Italy,Palliano Riserva,91,,Piedmont,Nebbiolo,Ceste
Italy,del Comune di Serralunga d'Alba,91,59,Piedmont,Nebbiolo,Cascina Cucco
Italy,Bricco Luciani,91,85,Piedmont,Nebbiolo,Cascina del Monastero
Italy,Bricco Gattera,91,80,Piedmont,Nebbiolo,Cordero di Montezemolo
France,Montmains Premier Cru,91,45,Burgundy,Chardonnay,Domaine G茅rard Duplessis
US,,91,22,California,Cabernet Sauvignon,Eagle Glen
US,Bacigalupi Vineyard,91,65,California,Pinot Noir,Eleven Eleven
US,Magnificat,91,50,California,Meritage,Franciscan
US,,86,10,California,Cabernet Sauvignon,Belle Ambiance
Portugal,Marqu锚s de Marialva Ros茅 Bruto,86,12,Beira Atlantico,Baga,Adega de Cantanhede
Italy,Nature,86,22,Veneto,Glera,De Stefani
US,Small Lot Blend,86,13,California,Chardonnay,Parducci
Portugal,Muros de Vinha,86,10,Douro,Portuguese Red,Quinta do Portal
France,Ch芒teau Beauvillain-Monpezat,86,14,Southwest France,Malbec-Merlot,Rigal
US,,86,18,California,Chardonnay,The Naked Grape
US,,86,36,California,Cabernet Sauvignon,Tin Barn
France,Pigmentum,86,15,Southwest France,Merlot-Malbec,Georges Vigouroux
